,postcode,year,total_income,viable_buildings,total_buildings,num_installs,average_income,install_percent
262,3325,2001,10344958.0,397.0,424.0,0.0,24398.485849056604,0.0
263,3328,2001,17339462.0,471.0,486.0,0.0,35677.90534979424,0.0
264,3329,2001,4228341.0,,,0.0,,
265,3330,2001,3401128.0,24.0,37.0,0.0,91922.37837837837,0.0
266,3331,2001,45076038.0,869.0,907.0,0.0,49697.94707828004,0.0
267,3332,2001,12081374.0,275.0,275.0,0.0,43932.26909090909,0.0
268,3333,2001,12101307.0,93.0,122.0,0.0,99191.04098360655,0.0
269,3334,2001,6353962.0,171.0,186.0,0.0,34161.086021505376,0.0
270,3335,2001,22281118.0,445.0,496.0,0.0,44921.60887096774,0.0
271,3337,2001,361555526.0,6608.0,6703.0,0.0,53939.35939131732,0.0
272,3338,2001,164707097.0,2145.0,2838.0,0.0,58036.32734319944,0.0
273,3340,2001,245935107.0,4634.0,5041.0,0.0,48786.96826026582,0.0
274,3341,2001,23615358.0,444.0,445.0,0.0,53068.2202247191,0.0
275,3342,2001,39155318.0,1647.0,1656.0,0.0,23644.51570048309,0.0
276,3345,2001,17356152.0,336.0,356.0,0.0,48753.23595505618,0.0
277,3350,2001,742462479.0,16853.0,19962.0,0.0,37193.79215509468,0.0
278,3351,2001,86759630.0,2266.0,2309.0,1.0,37574.547423126896,0.000441306266548985
279,3352,2001,212123539.0,4769.0,4800.0,1.0,44192.403958333336,0.00020968756552736424
280,3353,2001,11848114.0,,,0.0,,
281,3354,2001,11091670.0,,,0.0,,
282,3355,2001,145880069.0,4073.0,4880.0,0.0,29893.45676229508,0.0
283,3356,2001,130988698.0,3641.0,4239.0,0.0,30900.848785090824,0.0
284,3357,2001,49130178.0,458.0,540.0,0.0,90981.8111111111,0.0
285,3360,2001,8148282.0,99.0,109.0,0.0,74754.88073394496,0.0
286,3361,2001,8781249.0,161.0,185.0,0.0,47466.21081081081,0.0
287,3363,2001,45943715.0,1042.0,1141.0,0.0,40266.18317265557,0.0
288,3364,2001,19851033.0,607.0,610.0,0.0,32542.67704918033,0.0
289,3370,2001,14924666.0,663.0,700.0,0.0,21320.95142857143,0.0
290,3371,2001,9230593.0,638.0,653.0,0.0,14135.67075038285,0.0
291,3373,2001,23989011.0,950.0,961.0,1.0,24962.550468262227,0.0010526315789473684
292,3375,2001,4457054.0,51.0,51.0,0.0,87393.2156862745,0.0
293,3377,2001,127212862.0,4253.0,4491.0,0.0,28326.17724337564,0.0
