Postcode,Separate house,"Semi-detached, row or terrace house, townhouse etc with one storey","Semi-detached, row or terrace house, townhouse etc with two or more storeys","Flat, unit or apartment in a one or two storey block","Flat, unit or apartment in a three storey block","Flat, unit or apartment in a four or more storey block","Flat, unit or apartment attached to a house","Caravan, cabin, houseboat","Improvised home, tent, sleepers out","House or flat attached to a shop, office, etc.",Total
3856,345,0,0,0,0,0,0,0,0,0,345
3857,241,0,0,0,0,0,0,3,0,3,240
3858,1051,22,0,17,0,0,0,17,0,13,1115
3859,561,0,0,0,0,0,0,3,0,0,562
3860,2810,39,0,95,0,0,3,18,3,10,2973
3862,1124,6,4,24,0,0,0,34,3,11,1200
3865,125,0,0,3,0,0,0,0,3,0,135
3869,506,0,0,0,0,0,0,0,0,0,507
3870,648,0,0,13,0,0,0,3,0,0,670
3871,1086,4,0,30,0,0,0,7,0,9,1138
3874,374,3,0,0,0,0,0,8,0,0,385
3875,5937,275,10,379,0,0,3,80,18,22,6719
3878,518,42,0,4,0,0,0,14,0,0,585
3880,1812,114,41,134,0,0,0,32,14,4,2150
3882,613,0,0,5,0,0,0,23,3,3,650
3885,828,7,0,12,0,0,3,7,9,4,869
3886,148,3,0,3,0,0,0,0,0,0,152
3887,71,0,0,0,0,0,0,0,0,0,77
3888,1817,14,0,80,0,0,0,17,0,4,1939
3889,98,0,0,37,0,0,0,23,0,0,161
3890,217,0,0,15,0,0,0,3,0,7,235
3891,172,0,0,12,0,0,0,5,8,3,196
3892,634,3,0,76,0,0,8,13,0,15,756
3895,206,0,0,0,0,0,0,0,7,4,211
3896,167,0,0,4,0,0,0,6,4,0,179
3898,472,5,8,60,0,0,0,8,4,12,571
3900,231,0,0,0,0,0,0,4,0,0,237
3902,233,0,0,23,0,0,0,24,0,0,276
3904,870,9,4,11,0,0,0,3,0,0,900
3909,3481,78,17,444,0,0,0,167,3,14,4222
3910,6465,558,4,180,0,0,12,0,11,3,7222
